Drzava,Ime,Simbol,Trenutna_cena,Dnevna_sprem.,Dobiček,Volumen_delnice,Link_za_več
Saudi Arabia,Bank Albilad,1140,26.14,-0.23%,5.83B,39.30B,https://stockanalysis.com/quote/tadawul/1140/
Saudi Arabia,Umm Al Qura for Development and Construction Company,4325,23.0,0.13%,2.23B,33.09B,https://stockanalysis.com/quote/tadawul/4325/
Bangladesh,Grameenphone Ltd.,GP,299.6,0.34%,156.27B,404.55B,https://stockanalysis.com/quote/dse/GP/
Bangladesh,Square Pharmaceuticals PLC.,SQURPHARMA,222.6,0.27%,75.86B,196.79B,https://stockanalysis.com/quote/dse/SQURPHARMA/
Bangladesh,British American Tobacco Bangladesh Company Limited,BATBC,290.1,1.65%,91.37B,154.12B,https://stockanalysis.com/quote/dse/BATBC/
Bangladesh,Robi Axiata PLC.,ROBI,27.7,1.84%,97.26B,142.47B,https://stockanalysis.com/quote/dse/ROBI/
Bangladesh,BRAC Bank PLC.,BRACBANK,71.4,3.33%,68.39B,142.15B,https://stockanalysis.com/quote/dse/BRACBANK/
Bangladesh,Walton Hi-Tech Industries PLC,WALTONHIL,447.5,-0.29%,78.24B,135.56B,https://stockanalysis.com/quote/dse/WALTONHIL/
Bangladesh,Bangladesh Export Import Company Limited,BEXIMCO,110.1,-,17.72B,103.85B,https://stockanalysis.com/quote/dse/BEXIMCO/
Bangladesh,Marico Bangladesh Limited,MARICO,2931.8,0.22%,17.06B,92.15B,https://stockanalysis.com/quote/dse/MARICO/
Bangladesh,United Power Generation & Distribution Company Ltd.,UPGDCL,149.0,2.76%,39.18B,85.33B,https://stockanalysis.com/quote/dse/UPGDCL/
Bangladesh,Berger Paints Bangladesh Limited,BERGERPBL,1479.3,-0.14%,28.63B,68.61B,https://stockanalysis.com/quote/dse/BERGERPBL/
Bangladesh,Islami Bank Bangladesh PLC.,ISLAMIBANK,43.0,3.87%,61.13B,66.65B,https://stockanalysis.com/quote/dse/ISLAMIBANK/
Bangladesh,LafargeHolcim Bangladesh PLC.,LHB,56.9,-0.52%,28.11B,66.08B,https://stockanalysis.com/quote/dse/LHB/
Bangladesh,Beximco Pharmaceuticals Limited,BXPHARMA,130.7,1.79%,46.34B,58.31B,https://stockanalysis.com/quote/dse/BXPHARMA/
Bangladesh,Renata PLC,RENATA,516.1,8.74%,41.39B,54.43B,https://stockanalysis.com/quote/dse/RENATA/
Bangladesh,Unilever Consumer Care Limited,UNILEVERCL,2479.1,-0.15%,3.42B,47.78B,https://stockanalysis.com/quote/dse/UNILEVERCL/
Bangladesh,Investment Corporation of Bangladesh,ICB,51.6,-1.71%,2.24B,44.75B,https://stockanalysis.com/quote/dse/ICB/
Bangladesh,Eastern Bank PLC.,EBL,25.4,-,23.14B,40.53B,https://stockanalysis.com/quote/dse/EBL/
Bangladesh,Dutch-Bangla Bank PLC.,DUTCHBANGL,41.5,-0.96%,28.03B,40.12B,https://stockanalysis.com/quote/dse/DUTCHBANGL/
Bangladesh,City Bank PLC.,CITYBANK,24.8,-0.80%,36.87B,37.73B,https://stockanalysis.com/quote/dse/CITYBANK/
Bangladesh,Pubali Bank PLC.,PUBALIBANK,28.7,-1.03%,36.66B,37.72B,https://stockanalysis.com/quote/dse/PUBALIBANK/
Norway,Equinor ASA,EQNR,243.9,-2.60%,"1,077.03B",632.35B,https://stockanalysis.com/quote/osl/EQNR/
Norway,DNB Bank ASA,DNB,265.5,-0.82%,87.58B,393.68B,https://stockanalysis.com/quote/osl/DNB/
Norway,Kongsberg Gruppen ASA,KOG,296.8,0.87%,53.15B,258.52B,https://stockanalysis.com/quote/osl/KOG/
Norway,Telenor ASA,TEL,166.7,0.18%,80.56B,227.86B,https://stockanalysis.com/quote/osl/TEL/
Norway,Aker BP ASA,AKRBP,251.0,-1.45%,118.48B,160.84B,https://stockanalysis.com/quote/osl/AKRBP/
Norway,Constellation Oil Services Holding S.A.,COSH,91.32,4.95%,5.70B,143.33B,https://stockanalysis.com/quote/osl/COSH/
Norway,Gjensidige Forsikring ASA,GJF,280.0,-0.50%,44.42B,140.69B,https://stockanalysis.com/quote/osl/GJF/
Norway,Norsk Hydro ASA,NHY,65.84,0.40%,215.36B,129.75B,https://stockanalysis.com/quote/osl/NHY/
Norway,Orkla ASA,ORK,111.0,-1.42%,71.83B,112.31B,https://stockanalysis.com/quote/osl/ORK/
Norway,Mowi ASA,MOWI,204.6,0.29%,67.57B,105.49B,https://stockanalysis.com/quote/osl/MOWI/
Norway,Yara International ASA,YAR,363.4,-1.46%,147.65B,93.94B,https://stockanalysis.com/quote/osl/YAR/
Norway,Vår Energi AS,VAR,33.95,-2.41%,72.34B,86.85B,https://stockanalysis.com/quote/osl/VAR/
Norway,Vend Marketplaces ASA,VENDA,389.8,-0.71%,8.30B,80.41B,https://stockanalysis.com/quote/osl/VENDA/
Norway,SalMar ASA,SALM,498.2,0.77%,25.03B,66.83B,https://stockanalysis.com/quote/osl/SALM/
Norway,SpareBank 1 Sør-Norge ASA,SB1NO,176.6,-0.11%,12.65B,66.35B,https://stockanalysis.com/quote/osl/SB1NO/
Norway,Storebrand ASA,STB,155.4,0.52%,47.34B,66.08B,https://stockanalysis.com/quote/osl/STB/
Norway,Subsea 7 S.A.,SUBC,206.6,-1.81%,70.69B,62.20B,https://stockanalysis.com/quote/osl/SUBC/
Norway,Aker ASA,AKER,723.0,-0.55%,13.66B,54.00B,https://stockanalysis.com/quote/osl/AKER/
Norway,Frontline plc,FRO,206.3,-0.10%,19.99B,46.21B,https://stockanalysis.com/quote/osl/FRO/
Norway,Tomra Systems ASA,TOM,152.2,0.26%,16.11B,44.90B,https://stockanalysis.com/quote/osl/TOM/
Sri Lanka,John Keells Holdings PLC,JKH.N0000,23.0,-0.43%,361.87B,406.17B,https://stockanalysis.com/quote/cose/JKH.N0000/
Sri Lanka,Commercial Bank of Ceylon PLC,COMB.X0000,167.5,-1.03%,192.54B,314.60B,https://stockanalysis.com/quote/cose/COMB.X0000/
Sri Lanka,Ceylon Tobacco Company PLC,CTC.N0000,1653.5,0.72%,63.92B,309.74B,https://stockanalysis.com/quote/cose/CTC.N0000/
Sri Lanka,LOLC Holdings PLC,LOLC.N0000,562.5,1.17%,232.64B,267.30B,https://stockanalysis.com/quote/cose/LOLC.N0000/
Sri Lanka,Dialog Axiata PLC,DIAL.N0000,24.9,2.89%,176.05B,222.65B,https://stockanalysis.com/quote/cose/DIAL.N0000/
Sri Lanka,Hatton National Bank PLC,HNB.N0000,399.5,-0.06%,193.88B,218.27B,https://stockanalysis.com/quote/cose/HNB.N0000/
Sri Lanka,Distilleries Company of Sri Lanka PLC,DIST.N0000,47.0,-,52.69B,216.20B,https://stockanalysis.com/quote/cose/DIST.N0000/
Sri Lanka,LOLC Finance PLC,LOFC.N0000,5.8,-1.70%,52.77B,191.86B,https://stockanalysis.com/quote/cose/LOFC.N0000/
Sri Lanka,Melstacorp PLC,MELS.N0000,162.5,-,170.85B,189.38B,https://stockanalysis.com/quote/cose/MELS.N0000/
Sri Lanka,Cargills (Ceylon) PLC,CARG.N0000,718.0,-0.28%,248.56B,185.01B,https://stockanalysis.com/quote/cose/CARG.N0000/
Sri Lanka,Sampath Bank PLC,SAMP.N0000,146.0,-0.68%,117.78B,171.21B,https://stockanalysis.com/quote/cose/SAMP.N0000/
Sri Lanka,Carson Cumberbatch PLC,CARS.N0000,830.0,2.37%,336.95B,159.22B,https://stockanalysis.com/quote/cose/CARS.N0000/
Sri Lanka,C T Holdings PLC,CTHR.N0000,702.0,0.21%,249.47B,141.39B,https://stockanalysis.com/quote/cose/CTHR.N0000/
Sri Lanka,Hayleys PLC,HAYL.N0000,175.25,-0.57%,509.23B,132.19B,https://stockanalysis.com/quote/cose/HAYL.N0000/
Sri Lanka,Sri Lanka Telecom PLC,SLTL.N0000,66.0,4.10%,112.77B,114.43B,https://stockanalysis.com/quote/cose/SLTL.N0000/
